,income,incomePredicted
21816, >50K, <=50K
21817, <=50K, <=50K
21818, <=50K, <=50K
21819, <=50K, <=50K
21820, <=50K, <=50K
21821, <=50K, <=50K
21822, <=50K, <=50K
21823, <=50K, <=50K
21824, <=50K, <=50K
21825, <=50K, <=50K
21826, >50K, <=50K
21827, <=50K, <=50K
21828, >50K, <=50K
21829, <=50K, <=50K
21830, <=50K, <=50K
21831, >50K, <=50K
21832, <=50K, <=50K
21833, >50K, <=50K
21834, >50K, <=50K
21835, <=50K, <=50K
21836, <=50K, <=50K
21837, <=50K, <=50K
21838, <=50K, <=50K
21839, <=50K, <=50K
21840, <=50K, >50K
21841, <=50K, <=50K
21842, <=50K, <=50K
21843, <=50K, <=50K
21844, <=50K, <=50K
21845, <=50K, >50K
21846, <=50K, <=50K
21847, <=50K, <=50K
21848, <=50K, <=50K
21849, <=50K, <=50K
21850, <=50K, <=50K
21851, <=50K, <=50K
21852, <=50K, <=50K
21853, <=50K, <=50K
21854, <=50K, <=50K
21855, >50K, >50K
21856, <=50K, <=50K
21857, <=50K, <=50K
21858, <=50K, <=50K
21859, <=50K, <=50K
21860, <=50K, <=50K
21861, <=50K, <=50K
21862, >50K, >50K
21863, <=50K, <=50K
21864, <=50K, <=50K
21865, <=50K, <=50K
21866, >50K, <=50K
21867, <=50K, <=50K
21868, >50K, >50K
21869, <=50K, <=50K
21870, <=50K, <=50K
21871, <=50K, <=50K
21872, <=50K, <=50K
21873, <=50K, <=50K
21874, >50K, <=50K
21875, <=50K, <=50K
21876, >50K, >50K
21877, <=50K, <=50K
21878, <=50K, <=50K
21879, <=50K, <=50K
21880, <=50K, <=50K
21881, <=50K, <=50K
21882, <=50K, <=50K
21883, >50K, <=50K
21884, >50K, >50K
21885, >50K, <=50K
21886, <=50K, <=50K
21887, >50K, <=50K
21888, <=50K, <=50K
21889, <=50K, <=50K
21890, <=50K, <=50K
21891, >50K, >50K
21892, >50K, >50K
21893, <=50K, <=50K
21894, >50K, <=50K
21895, <=50K, <=50K
21896, <=50K, <=50K
21897, <=50K, <=50K
21898, <=50K, <=50K
21899, <=50K, <=50K
21900, >50K, <=50K
21901, <=50K, <=50K
21902, >50K, >50K
21903, <=50K, <=50K
21904, <=50K, <=50K
21905, <=50K, <=50K
21906, <=50K, <=50K
21907, <=50K, <=50K
21908, >50K, <=50K
21909, <=50K, <=50K
21910, <=50K, <=50K
21911, <=50K, <=50K
21912, >50K, <=50K
21913, <=50K, <=50K
21914, <=50K, <=50K
21915, <=50K, <=50K
21916, <=50K, <=50K
21917, <=50K, <=50K
21918, <=50K, <=50K
21919, <=50K, <=50K
21920, <=50K, <=50K
21921, <=50K, <=50K
21922, <=50K, <=50K
21923, <=50K, <=50K
21924, <=50K, <=50K
21925, <=50K, <=50K
21926, <=50K, <=50K
21927, >50K, <=50K
21928, <=50K, <=50K
21929, <=50K, <=50K
21930, <=50K, <=50K
21931, <=50K, <=50K
21932, <=50K, <=50K
21933, <=50K, >50K
21934, <=50K, <=50K
21935, <=50K, <=50K
21936, <=50K, <=50K
21937, <=50K, <=50K
21938, >50K, <=50K
21939, <=50K, <=50K
21940, <=50K, <=50K
21941, <=50K, <=50K
21942, <=50K, <=50K
21943, <=50K, <=50K
21944, <=50K, <=50K
21945, >50K, <=50K
21946, <=50K, <=50K
21947, <=50K, >50K
21948, <=50K, <=50K
21949, >50K, >50K
21950, >50K, <=50K
21951, <=50K, <=50K
21952, <=50K, <=50K
21953, <=50K, <=50K
21954, <=50K, <=50K
21955, <=50K, <=50K
21956, >50K, <=50K
21957, <=50K, <=50K
21958, <=50K, <=50K
21959, <=50K, <=50K
21960, >50K, <=50K
21961, <=50K, <=50K
21962, <=50K, <=50K
21963, <=50K, <=50K
21964, <=50K, <=50K
21965, <=50K, <=50K
21966, <=50K, <=50K
21967, <=50K, <=50K
21968, <=50K, <=50K
21969, <=50K, <=50K
21970, <=50K, <=50K
21971, <=50K, >50K
21972, <=50K, <=50K
21973, <=50K, <=50K
21974, <=50K, <=50K
21975, <=50K, <=50K
21976, >50K, <=50K
21977, <=50K, <=50K
21978, >50K, <=50K
21979, <=50K, <=50K
21980, <=50K, <=50K
21981, <=50K, <=50K
21982, <=50K, <=50K
21983, >50K, <=50K
21984, <=50K, <=50K
21985, <=50K, <=50K
21986, >50K, <=50K
21987, <=50K, <=50K
21988, <=50K, <=50K
21989, <=50K, <=50K
21990, <=50K, <=50K
21991, <=50K, <=50K
21992, >50K, >50K
21993, >50K, <=50K
21994, <=50K, <=50K
21995, <=50K, <=50K
21996, <=50K, <=50K
21997, <=50K, <=50K
21998, >50K, >50K
21999, <=50K, <=50K
22000, >50K, >50K
22001, <=50K, <=50K
22002, <=50K, <=50K
22003, <=50K, <=50K
22004, <=50K, <=50K
22005, >50K, <=50K
22006, <=50K, <=50K
22007, <=50K, <=50K
22008, >50K, <=50K
22009, <=50K, <=50K
22010, >50K, >50K
22011, <=50K, >50K
22012, <=50K, <=50K
22013, <=50K, <=50K
22014, <=50K, <=50K
22015, <=50K, <=50K
22016, >50K, <=50K
22017, >50K, >50K
22018, <=50K, <=50K
22019, <=50K, <=50K
22020, <=50K, <=50K
22021, <=50K, <=50K
22022, <=50K, <=50K
22023, <=50K, <=50K
22024, <=50K, <=50K
22025, <=50K, <=50K
22026, >50K, <=50K
22027, <=50K, <=50K
22028, <=50K, <=50K
22029, <=50K, <=50K
22030, >50K, <=50K
22031, <=50K, <=50K
22032, <=50K, >50K
22033, <=50K, <=50K
22034, <=50K, <=50K
22035, >50K, <=50K
22036, <=50K, <=50K
22037, <=50K, <=50K
22038, <=50K, <=50K
22039, <=50K, <=50K
22040, >50K, >50K
22041, >50K, >50K
22042, <=50K, <=50K
22043, <=50K, <=50K
22044, <=50K, <=50K
22045, <=50K, <=50K
22046, >50K, <=50K
22047, <=50K, <=50K
22048, <=50K, <=50K
22049, >50K, >50K
22050, >50K, >50K
22051, <=50K, <=50K
22052, <=50K, >50K
