Date,#Passengers
1949-01,112.0
1949-02,118.0
1949-03,132.0
1949-04,129.0
1949-05,121.0
1949-06,135.0
1949-07,148.0
1949-08,148.0
1949-09,136.0
1949-10,119.0
1949-11,104.0
1949-12,118.0
1950-01,115.0
1950-02,126.0
1950-03,141.0
1950-04,135.0
1950-05,125.0
1950-06,149.0
1950-07,170.0
1950-08,170.0
1950-09,158.0
1950-10,133.0
1950-11,114.0
1950-12,140.0
1951-01,145.0
1951-02,150.0
1951-03,178.0
1951-04,163.0
1951-05,172.0
1951-06,178.0
1951-07,199.0
1951-08,199.0
1951-09,184.0
1951-10,162.0
1951-11,146.0
1951-12,166.0
1952-01,171.0
1952-02,180.0
1952-03,193.0
1952-04,181.0
1952-05,183.0
1952-06,218.0
1952-07,230.0
1952-08,242.0
1952-09,209.0
1952-10,191.0
1952-11,172.0
1952-12,194.0
1953-01,196.0
1953-02,196.0
1953-03,236.0
1953-04,235.0
1953-05,229.0
1953-06,243.0
1953-07,264.0
1953-08,272.0
1953-09,237.0
1953-10,211.0
1953-11,180.0
1953-12,201.0
1954-01,204.0
1954-02,188.0
1954-03,235.0
1954-04,227.0
1954-05,234.0
1954-06,264.0
1954-07,302.0
1954-08,293.0
1954-09,259.0
1954-10,229.0
1954-11,203.0
1954-12,229.0
1955-01,242.0
1955-02,233.0
1955-03,267.0
1955-04,269.0
1955-05,270.0
1955-06,315.0
1955-07,364.0
1955-08,347.0
1955-09,312.0
1955-10,274.0
1955-11,237.0
1955-12,278.0
1956-01,284.0
1956-02,277.0
1956-03,317.0
1956-04,313.0
1956-05,318.0
1956-06,374.0
1956-07,413.0
1956-08,405.0
1956-09,355.0
1956-10,306.0
1956-11,271.0
1956-12,306.0
1957-01,315.0
1957-02,301.0
1957-03,356.0
1957-04,348.0
1957-05,355.0
1957-06,422.0
1957-07,465.0
1957-08,467.0
1957-09,404.0
1957-10,347.0
1957-11,305.0
1957-12,336.0
1958-01,340.0
1958-02,318.0
1958-03,362.0
1958-04,348.0
1958-05,363.0
1958-06,435.0
1958-07,491.0
1958-08,505.0
1958-09,404.0
1958-10,359.0
1958-11,310.0
1958-12,337.0
1959-01,360.0
1959-02,342.0
1959-03,406.0
1959-04,396.0
1959-05,420.0
1959-06,472.0
1959-07,548.0
1959-08,559.0
1959-09,463.0
1959-10,407.0
1959-11,362.0
1959-12,405.0
1960-01,417.0
1960-02,391.0
1960-03,419.0
1960-04,461.0
1960-05,472.0
1960-06,535.0
1960-07,622.0
1960-08,606.0
1960-09,582.878312184
1960-10,565.323347311
1960-11,549.809784035
1960-12,559.856962202
1961-01,575.626791192
1961-02,586.038659289
1961-03,592.512181376
1961-04,592.578259716
1961-05,591.089109773
1961-06,592.098649907
1961-07,595.187296535
1961-08,599.864959503
1961-09,604.689271521
1961-10,608.498293286
1961-11,611.489249758
1961-12,614.119870534
1962-01,616.859140672
1962-02,619.985379734
1962-03,623.385304309
1962-04,626.845339254
1962-05,630.216000085
1962-06,633.44730166
1962-07,636.598614646
1962-08,639.751798756
1962-09,642.950478122
1962-10,646.196262732
1962-11,649.461836122
1962-12,652.719082993
1963-01,655.957111135
1963-02,659.180380719
1963-03,662.400135569
1963-04,665.625191856
1963-05,668.857488704
1963-06,672.093971814
1963-07,675.330426378
1963-08,678.564358681
1963-09,681.795800188
1963-10,685.026224723
1963-11,688.257083411
1963-12,691.488980865
1964-01,694.721662385
1964-02,697.954519059
1964-03,701.187093108
1964-04,704.419280075
1964-05,707.65124501
1964-06,710.883214945
1964-07,714.115319814
1964-08,717.347557098
1964-09,720.57984797
1964-10,723.812114756
1964-11,727.044326017
1964-12,730.276495758
1965-01,733.508656448
1965-02,736.740832447
1965-03,739.973029094
1965-04,743.205237447
1965-05,746.437445423
1965-06,749.669646149
1965-07,752.901839831
1965-08,756.134030709
1965-09,759.366222907
1965-10,762.598418076
1965-11,765.830615446
1965-12,769.06281328
1966-01,772.295010287
1966-02,775.527206192
1966-03,778.75940148
1966-04,781.991596794
1966-05,785.223792497
1966-06,788.455988576
1966-07,791.688184801
1966-08,794.920380953
1966-09,798.152576947
1966-10,801.384772823
1966-11,804.616968677
1966-12,807.849164575
1967-01,811.081360531
1967-02,814.31355652
1967-03,817.545752508
1967-04,820.777948474
1967-05,824.010144421
1967-06,827.24234036
1967-07,830.474536303
1967-08,833.706732254
1967-09,836.938928212
1967-10,840.171124171
1967-11,843.403320127
1967-12,846.63551608
1968-01,849.867712032
1968-02,853.099907984
1968-03,856.332103936
1968-04,859.56429989
1968-05,862.796495844
1968-06,866.028691798
1968-07,869.260887752
1968-08,872.493083705
1968-09,875.725279658
1968-10,878.957475612
1968-11,882.189671565
1968-12,885.421867519
